OBJECTID,SITEID,NAME,WEB_PAGE,BOAT FACILITY,CAMPING,HUNTING,PDFMAP,HUNT_ACCESS,ACRES,LATITUDE,LONGITUDE,MGMT_ID,x,y
38582,2034040,Crystal Cross,https://myfwp.mt.gov/fishMT/fas/39754493,Hand Launch,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754493.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,30,45.20224,-110.89983,39754493,-12345313.5343,5653417.8287
38583,2517695,Forest Cooper,https://myfwp.mt.gov/fishMT/fas/39754521,No Boat Facilities,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754521.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,3,45.96901,-114.14079,39754521,-12706096.4173,5775385.7772
38584,281525,Silver Star,https://myfwp.mt.gov/fishMT/fas/39753448,Ramp (Concrete),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753448.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,24,45.68639,-112.28244,39753448,-12499225.3918,5730235.8313
38585,281695,Corrals,https://myfwp.mt.gov/fishMT/fas/39753520,No Boat Facilities,No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753520.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,3,45.11423,-112.75359,39753520,-12551674.1821,5639523.2569
38586,2033995,Grasshopper,https://myfwp.mt.gov/fishMT/fas/39754489,Ramp (Concrete),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754489.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,2,45.10008,-112.77756,39754489,-12554342.2884,5637291.3002
38587,39355988,Angler's Roost,https://myfwp.mt.gov/fishMT/fas/39753889,Ramp (Concrete),Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753889.pdf,,0,46.19893,-114.16943,39753889,-12709284.02,5812286.4081
38588,280172,Walstad,https://myfwp.mt.gov/fishMT/fas/39754043,"Dock, Ramp (Concrete)",No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754043.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,1,47.81127,-114.26549,39754043,-12719977.8437,6075515.5674
38589,44226273,Selway Park,https://myfwp.mt.gov/fishMT/fas/67814639,No Boat Facilities,No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/67814639.pdf,,,45.2351,-112.6252,67814639,-12537442.3923,5658543.1089
38590,43539971,Gold Creek,https://myfwp.mt.gov/fishMT/fas/47251882,Ramp (Concrete),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/47251882.pdf,,,337531.27049743,265801.88135636,47251882,-12571087.0091,5875453.0112
38591,283564,Rock Creek,https://myfwp.mt.gov/fishMT/fas/39754327,Ramp (Concrete),Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754327.pdf,,467,47.76763,-106.28588,39754327,-11829025.9411,6064505.5454
38592,6640668,Angevine,https://myfwp.mt.gov/fishMT/fas/39754559,Hand Launch,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754559.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,13,46.89663,-113.76333,39754559,-12664077.2148,5925218.6834
38593,281410,Dailey Lake,https://myfwp.mt.gov/fishMT/fas/39753414,"Ramp (Concrete), Dock",Yes,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753414.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,,45.26001529,-110.81174626,39753414,-12335508.5284,5662549.9219
38594,280768,Gillies Bridge,https://myfwp.mt.gov/fishMT/fas/39754183,Hand Launch,No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754183.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,,46.33025531,-113.53623474,39754183,-12638889.1607,5833418.3835
38595,1191759,Lewis and Clark,https://myfwp.mt.gov/fishMT/fas/39754485,Ramp (Concrete),No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754485.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,35,48.06811,-105.53745,39754485,-11748376.712,6118193.9387
38596,7404192,Lower Osprey,https://myfwp.mt.gov/fishMT/fas/39754595,No Boat Facilities,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754595.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,21,47.02214,-114.64553,39754595,-12762283.7951,5945689.3288
38597,10283453,Middle Osprey,https://myfwp.mt.gov/fishMT/fas/39754630,No Boat Facilities,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754630.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,24,47.01952,-114.62746,39754630,-12760271.4416,5945261.0989
38598,7404185,Upper Osprey,https://myfwp.mt.gov/fishMT/fas/39754593,No Boat Facilities,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754593.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,15,47.0139,-114.59952,39754593,-12757161.7365,5944343.5476
